bread,3.49,40,0.00,20250122,8,40,2
apple,0.99,60,0.00,20250105,0,25,0
steak,12.99,25,0.10,20250118,26,0,15
milk,2.99,30,0.00,20250103,8,12,8
eggs,4.49,50,0.00,20250114,12,1,10
rice,1.29,80,0.00,20250130,3,45,0
banana,0.79,55,0.00,20250104,1,27,0
chickenbreast,7.99,22,0.10,20250120,31,0,3
cheese,5.49,18,0.05,20250116,7,1,9
yogurt,1.19,34,0.00,20250108,5,12,3
pasta,2.49,45,0.00,20250125,7,42,1
orange,1.29,52,0.00,20250106,1,15,0
salmon,10.99,14,0.10,20250117,20,0,13
granola,3.99,29,0.00,20250128,5,36,4
lettuce,1.49,33,0.00,20250103,1,2,0
